fiducial,inversion_name,X,Y,DEPTH,ELEVATION,DEM,UNCERTAINTY,Type,BoundaryNm,BoundConf,BasisOfInt,OvrConf,OvrStrtUnt,OvrStrtCod,UndStrtUnt,UndStrtCod,WithinType,WithinStrt,WithinStNo,WithinConf,InterpRef,Comment,SURVEY_LINE,Operator,point_index,Colour,Marker,MarkerSize
5402.399902,galei,435543,6984607,-2,544.5,543,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1037001,User,11,darkgrey,triangle-up-dot,20
5402.399902,galei,435543,6984607,100,442.5,543,,TOP_Riewoldt,Top_Riewoldt_Granite,M,IAEM,M,,,,,,,,,,,1037001,User,11,darkgrey,x,20
5402.399902,galei,435543,6984607,130,412.5,543,,TOP_Riewoldt,Top_Riewoldt_Granite,M,IAEM,M,,,,,,,,,,,1037001,User,11,darkgrey,x,20
5511.600098,galei,442942,6984634,1,502.5,503.6,,TOP_Dusty,Top_Dusty_Sands,M,IAEM,M,,,,,,,,,,,1037001,User,159,black,triangle-up,20
5511.600098,galei,442942,6984634,85,418.5,503.6,,TOP_Dusty,Top_Dusty_Sands,M,IAEM,M,,,,,,,,,,,1037001,User,159,black,triangle-up,20
7169,galei,383608,6041720,1,66,67,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1066001,User,122,darkgrey,triangle-up-dot,20
7169,galei,383608,6041720,85,-18,67,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1066001,User,122,darkgrey,triangle-up-dot,20
7247.799805,galei,378560,6041707,10,6,15.9,,TOP_Dusty,Top_Dusty_Sands,M,IAEM,M,,,,,,,,,,,1066001,User,21,black,triangle-up,20
7247.799805,galei,378560,6041707,58,-42,15.9,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1066001,User,21,darkgrey,triangle-up-dot,20
7247.799805,galei,378560,6041707,82,-66,15.9,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1066001,User,21,darkgrey,triangle-up-dot,20
7056.399902,galei,390601,6041720,-2,36,34.2,,TOP_Dusty,Top_Dusty_Sands,M,IAEM,M,,,,,,,,,,,1066001,User,262,black,triangle-up,20
7056.399902,galei,390601,6041720,58,-24,34.2,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1066001,User,262,darkgrey,triangle-up-dot,20
7056.399902,galei,390601,6041720,94,-60,34.2,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1066001,User,262,darkgrey,triangle-up-dot,20
5577.399902,galei,338506,6963766,115,346.7,462.2,,TOP_Riewoldt,Top_Riewoldt_Granite,M,IAEM,M,,,,,,,,,,,2036001,User,170,darkgrey,x,20
5577.399902,galei,338506,6963766,169,292.7,462.2,,TOP_Riewoldt,Top_Riewoldt_Granite,M,IAEM,M,,,,,,,,,,,2036001,User,170,darkgrey,x,20
5577.399902,galei,338506,6963766,61,400.7,462.2,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,2036001,User,170,darkgrey,triangle-up-dot,20
5577.399902,galei,338506,6963766,31,430.7,462.2,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,2036001,User,170,black,triangle-down,20
5577.399902,galei,338506,6963766,1,460.7,462.2,,TOP_Dusty,Top_Dusty_Sands,M,IAEM,M,,,,,,,,,,,2036001,User,170,black,triangle-up,20
5601.600098,galei,336907,6963753,2,460.7,462.3,,TOP_Dusty,Top_Dusty_Sands,M,IAEM,M,,,,,,,,,,,2036001,User,138,black,triangle-up,20
5601.600098,galei,336907,6963753,38,424.7,462.3,,TOP_Riewoldt,Top_Riewoldt_Granite,M,IAEM,M,,,,,,,,,,,2036001,User,138,darkgrey,x,20
5601.600098,galei,336907,6963753,74,388.7,462.3,,TOP_Riewoldt,Top_Riewoldt_Granite,M,IAEM,M,,,,,,,,,,,2036001,User,138,darkgrey,x,20
3670,galei,891796,7111755,84,408.8,492.7,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,3044002,User,236,darkgrey,triangle-up-dot,20
3670,galei,891796,7111755,126,366.8,492.7,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,3044002,User,236,darkgrey,triangle-up-dot,20
3670,galei,891796,7111755,24,468.8,492.7,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,3044002,User,236,black,triangle-down,20
3670,galei,891796,7111755,0,492.8,492.7,,TOP_Dusty,Top_Dusty_Sands,M,IAEM,M,,,,,,,,,,,3044002,User,236,black,triangle-up,20
3652.800049,galei,892895,7111734,22,468.8,490.4,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,3044002,User,258,black,triangle-down,20
3652.800049,galei,892895,7111734,58,432.8,490.4,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,3044002,User,258,black,triangle-down,20
3652.800049,galei,892895,7111734,76,414.8,490.4,,TOP_Riewoldt,Top_Riewoldt_Granite,M,IAEM,M,,,,,,,,,,,3044002,User,258,darkgrey,x,20
3652.800049,galei,892895,7111734,106,384.8,490.4,,TOP_Riewoldt,Top_Riewoldt_Granite,M,IAEM,M,,,,,,,,,,,3044002,User,258,darkgrey,x,20
7273.399902,galei,761096,7138469,182,222.7,404.7,,TOP_Riewoldt,Top_Riewoldt_Granite,M,IAEM,M,,,,,,,,,,,3045002,User,222,darkgrey,x,20
7273.399902,galei,761096,7138469,110,294.7,404.7,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,3045002,User,222,black,triangle-down-dot,20
7273.399902,galei,761096,7138469,26,378.7,404.7,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,3045002,User,222,black,triangle-down,20
7273.399902,galei,761096,7138469,50,354.7,404.7,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,3045002,User,222,darkgrey,triangle-up-dot,20
7273.399902,galei,761096,7138469,2,402.7,404.7,,TOP_Dusty,Top_Dusty_Sands,M,IAEM,M,,,,,,,,,,,3045002,User,222,black,triangle-up,20
7120,galei,751160,7138896,0,420.7,420.4,,TOP_Dusty,Top_Dusty_Sands,M,IAEM,M,,,,,,,,,,,3045002,User,23,black,triangle-up,20
7119.200195,galei,751110,7138896,41,378.7,420,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,3045002,User,22,black,triangle-down,20
7119.200195,galei,751110,7138896,71,348.7,420,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,3045002,User,22,black,triangle-down,20
7206,galei,756705,7138691,5,390.7,396.2,,TOP_Dusty,Top_Dusty_Sands,M,IAEM,M,,,,,,,,,,,3045002,User,134,black,triangle-up,20
7206,galei,756705,7138691,17,378.7,396.2,,TOP_Dusty,Top_Dusty_Sands,M,IAEM,M,,,,,,,,,,,3045002,User,134,black,triangle-up,20
4828.399902,galei,843880,7160684,-4,474,469.6,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,3046002,User,378,darkgrey,triangle-up-dot,20
4827.600098,galei,843930,7160679,63,408,470.8,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,3046002,User,379,black,triangle-down-dot,20
4827.600098,galei,843930,7160679,87,384,470.8,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,3046002,User,379,black,triangle-down-dot,20
5122.200195,galei,825158,7161558,17,462,479.1,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,3046002,User,3,black,triangle-down,20
5122.200195,galei,825158,7161558,47,432,479.1,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,3046002,User,3,darkgrey,triangle-up-dot,20
5122.200195,galei,825158,7161558,137,342,479.1,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,3046002,User,3,black,triangle-down-dot,20
5122.200195,galei,825158,7161558,251,228,479.1,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,3046002,User,3,black,triangle-down-dot,20
7329,galei,825957,7313361,273,91,364.1,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,3053001,User,119,black,triangle-down-dot,20
7329,galei,825957,7313361,111,253,364.1,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,3053001,User,119,darkgrey,triangle-up-dot,20
7328.200195,galei,825907,7313362,52,313,364.9,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,3053001,User,118,black,triangle-down,20
7328.200195,galei,825907,7313362,-2,367,364.9,,TOP_Dusty,Top_Dusty_Sands,M,IAEM,M,,,,,,,,,,,3053001,User,118,black,triangle-up,20
7329,galei,825957,7313361,321,43,364.1,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,3053001,User,119,black,triangle-down-dot,20
10097.40039,galei,935007,7099815,1,580.6,581.4,,TOP_Riewoldt,Top_Riewoldt_Granite,M,IAEM,M,,,,,,,,,,,4043001,User,60,darkgrey,x,20
10169.59961,galei,939250,7099620,319,184.6,503.5,,TOP_Riewoldt,Top_Riewoldt_Granite,M,IAEM,M,,,,,,,,,,,4043001,User,145,darkgrey,x,20
10169.59961,galei,939250,7099620,103,400.6,503.5,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,4043001,User,145,darkgrey,triangle-up-dot,20
10169.59961,galei,939250,7099620,1,502.6,503.5,,TOP_Dusty,Top_Dusty_Sands,M,IAEM,M,,,,,,,,,,,4043001,User,145,black,triangle-up,20
